group,registry,test,host_code,core_x,core_y,in0_reads,in1_reads
multi_diag_ultra_sparse,27,2,CDA,0,6,12,12
multi_diag_ultra_sparse,27,2,CDA,0,7,12,12
multi_diag_ultra_sparse,27,2,CDA,1,0,0,13
multi_diag_ultra_sparse,27,2,CDA,1,1,0,13
multi_diag_ultra_sparse,27,2,CDA,1,2,0,12
multi_diag_ultra_sparse,27,2,CDA,1,3,0,12
multi_diag_ultra_sparse,27,2,CDA,1,4,0,12
multi_diag_ultra_sparse,27,2,CDA,1,5,0,12
multi_diag_ultra_sparse,27,2,CDA,1,6,0,12
multi_diag_ultra_sparse,27,2,CDA,1,7,0,12
multi_diag_ultra_sparse,27,2,CDA,2,0,0,13
multi_diag_ultra_sparse,27,2,CDA,2,1,0,13
multi_diag_ultra_sparse,27,2,CDA,2,2,0,12
multi_diag_ultra_sparse,27,2,CDA,2,3,0,12
multi_diag_ultra_sparse,27,2,CDA,2,4,0,12
multi_diag_ultra_sparse,27,2,CDA,2,5,0,12
multi_diag_ultra_sparse,27,2,CDA,2,6,0,12
multi_diag_ultra_sparse,27,2,CDA,2,7,0,12
multi_diag_ultra_sparse,27,2,CDA,3,0,0,13
multi_diag_ultra_sparse,27,2,CDA,3,1,0,13
multi_diag_ultra_sparse,27,2,CDA,3,2,0,12
multi_diag_ultra_sparse,27,2,CDA,3,3,0,12
multi_diag_ultra_sparse,27,2,CDA,3,4,0,12
multi_diag_ultra_sparse,27,2,CDA,3,5,0,12
multi_diag_ultra_sparse,27,2,CDA,3,6,0,12
multi_diag_ultra_sparse,27,2,CDA,3,7,0,12
multi_diag_ultra_sparse,27,2,CDA,4,0,0,13
multi_diag_ultra_sparse,27,2,CDA,4,1,0,13
multi_diag_ultra_sparse,27,2,CDA,4,2,0,12
multi_diag_ultra_sparse,27,2,CDA,4,3,0,12
multi_diag_ultra_sparse,27,2,CDA,4,4,0,12
multi_diag_ultra_sparse,27,2,CDA,4,5,0,12
multi_diag_ultra_sparse,27,2,CDA,4,6,0,12
multi_diag_ultra_sparse,27,2,CDA,4,7,0,12
multi_diag_ultra_sparse,27,2,CDA,5,0,0,13
multi_diag_ultra_sparse,27,2,CDA,5,1,0,13
multi_diag_ultra_sparse,27,2,CDA,5,2,0,12
multi_diag_ultra_sparse,27,2,CDA,5,3,0,12
multi_diag_ultra_sparse,27,2,CDA,5,4,0,12
multi_diag_ultra_sparse,27,2,CDA,5,5,0,12
multi_diag_ultra_sparse,27,2,CDA,5,6,0,12
multi_diag_ultra_sparse,27,2,CDA,5,7,0,12
multi_diag_ultra_sparse,27,2,CDA,6,0,0,13
multi_diag_ultra_sparse,27,2,CDA,6,1,0,13
multi_diag_ultra_sparse,27,2,CDA,6,2,0,12
multi_diag_ultra_sparse,27,2,CDA,6,3,0,12
multi_diag_ultra_sparse,27,2,CDA,6,4,0,12
multi_diag_ultra_sparse,27,2,CDA,6,5,0,12
multi_diag_ultra_sparse,27,2,CDA,6,6,0,12
multi_diag_ultra_sparse,27,2,CDA,6,7,0,12
multi_diag_ultra_sparse,27,2,CDA,7,0,0,13
multi_diag_ultra_sparse,27,2,CDA,7,1,0,13
multi_diag_ultra_sparse,27,2,CDA,7,2,0,12
multi_diag_ultra_sparse,27,2,CDA,7,3,0,12
multi_diag_ultra_sparse,27,2,CDA,7,4,0,12
multi_diag_ultra_sparse,27,2,CDA,7,5,0,12
multi_diag_ultra_sparse,27,2,CDA,7,6,0,12
multi_diag_ultra_sparse,27,2,CDA,7,7,0,12
